biometric_log_id,candidate_id,capture_timestamp,device_id,match_score,match_status,retry_count
110,119.0,2026-05-03 09:12:00,DEV0108,86,match,0
111,120.0,2026-05-03 09:56:00,DEV0272,90,match,0
112,121.0,2026-05-03 09:40:00,DEV0061,82,match,0
113,122.0,2026-05-03 09:44:00,DEV0027,71,match,0
114,123.0,2026-05-03 09:00:00,DEV0225,99,match,0
115,124.0,2026-05-03 09:52:00,DEV0287,72,match,0
116,125.0,2026-05-03 09:33:00,DEV0200,88,match,0
117,126.0,2026-05-03 09:23:00,DEV0095,81,match,0
118,127.0,2026-05-03 09:42:00,DEV0086,95,match,0
119,128.0,2026-05-03 09:12:00,DEV0344,72,match,0
120,130.0,2026-05-03 09:57:00,DEV0073,74,match,0
121,131.0,2026-05-03 09:32:00,DEV0331,78,match,0
122,132.0,2026-05-03 09:12:00,DEV0201,91,match,0
123,133.0,2026-05-03 09:18:00,DEV0328,87,match,0
124,134.0,2026-05-03 09:08:00,DEV0143,93,match,0
125,135.0,2026-05-03 09:46:00,DEV0167,94,match,0
126,136.0,2026-05-03 09:21:00,DEV0389,97,match,0
127,137.0,2026-05-03 09:17:00,DEV0364,70,match,0
128,138.0,2026-05-03 09:57:00,DEV0222,83,match,0
129,139.0,2026-05-03 09:52:00,DEV0403,96,match,0
130,140.0,2026-05-03 09:12:00,DEV0091,81,match,0
131,141.0,2026-05-03 09:49:00,DEV0400,72,match,0
132,142.0,2026-05-03 09:23:00,DEV0064,99,match,0
133,143.0,2026-05-03 09:52:00,DEV0131,90,match,0
134,144.0,2026-05-03 09:15:00,DEV0146,89,match,0
135,145.0,2026-05-03 09:19:00,DEV0358,81,match,0
136,146.0,2026-05-03 09:52:00,DEV0473,91,match,0
137,147.0,2026-05-03 09:08:00,DEV0352,75,match,0
138,148.0,2026-05-03 09:04:00,DEV0499,85,match,0
139,149.0,2026-05-03 09:40:00,DEV0277,86,match,0
140,150.0,2026-05-03 09:00:00,DEV0458,92,match,0
141,151.0,2026-05-03 09:32:00,DEV0095,98,match,0
142,152.0,2026-05-03 09:36:00,DEV0009,98,match,0
143,153.0,2026-05-03 09:03:00,DEV0468,82,match,0
144,154.0,2026-05-03 09:19:00,DEV0391,92,match,0
145,155.0,2026-05-03 09:48:00,DEV0251,76,match,0
146,156.0,2026-05-03 09:00:00,DEV0357,96,match,0
147,157.0,2026-05-03 09:00:00,DEV0229,97,match,0
148,158.0,2026-05-03 09:57:00,DEV0431,80,match,0
149,159.0,2026-05-03 09:05:00,DEV0374,81,match,0
150,160.0,2026-05-03 09:36:00,DEV0073,93,match,0
151,161.0,2026-05-03 09:03:00,DEV0471,96,match,0
152,162.0,2026-05-03 09:10:00,DEV0206,82,match,0
153,163.0,2026-05-03 09:31:00,DEV0456,83,match,0
154,164.0,2026-05-03 09:35:00,DEV0070,96,match,0
155,165.0,2026-05-03 09:54:00,DEV0030,84,match,0
156,166.0,2026-05-03 09:28:00,DEV0247,73,match,0
157,167.0,2026-05-03 09:04:00,DEV0447,89,match,0
158,169.0,2026-05-03 09:15:00,DEV0474,76,match,0
159,170.0,2026-05-03 09:20:00,DEV0175,75,match,0
160,171.0,2026-05-03 09:54:00,DEV0376,93,match,0
161,172.0,2026-05-03 09:46:00,DEV0093,93,match,0
162,173.0,2026-05-03 09:35:00,DEV0091,92,match,0
163,174.0,2026-05-03 09:29:00,DEV0464,76,match,0
164,175.0,2026-05-03 09:30:00,DEV0239,95,match,0
165,176.0,2026-05-03 09:05:00,DEV0349,91,match,0
166,177.0,2026-05-03 09:12:00,DEV0337,96,match,0
167,178.0,2026-05-03 09:03:00,DEV0128,81,match,0
168,179.0,2026-05-03 09:51:00,DEV0195,88,match,0
169,180.0,2026-05-03 09:12:00,DEV0456,82,match,0
170,181.0,2026-05-03 09:02:00,DEV0038,72,match,0
171,182.0,2026-05-03 09:29:00,DEV0320,92,match,0
172,183.0,2026-05-03 09:58:00,DEV0456,75,match,0
173,184.0,2026-05-03 09:32:00,DEV0363,88,match,0
174,185.0,2026-05-03 09:24:00,DEV0272,72,match,0
175,186.0,2026-05-03 09:20:00,DEV0232,70,match,0
176,187.0,2026-05-03 09:45:00,DEV0264,78,match,0
177,188.0,2026-05-03 09:17:00,DEV0225,70,match,0
178,189.0,2026-05-03 09:03:00,DEV0255,94,match,0
179,190.0,2026-05-03 09:41:00,DEV0283,76,match,0
180,191.0,2026-05-03 09:45:00,DEV0346,97,match,0
181,192.0,2026-05-03 09:20:00,DEV0322,83,match,0
182,194.0,2026-05-03 09:16:00,DEV0083,96,match,0
183,195.0,2026-05-03 09:31:00,DEV0413,72,match,0
184,196.0,2026-05-03 09:27:00,DEV0263,70,match,0
185,198.0,2026-05-03 09:08:00,DEV0174,93,match,0
186,199.0,2026-05-03 09:42:00,DEV0442,77,match,0
187,200.0,2026-05-03 09:12:00,DEV0079,94,match,0
188,201.0,2026-05-03 09:28:00,DEV0002,84,match,0
189,202.0,2026-05-03 09:54:00,DEV0314,76,match,0
190,203.0,2026-05-03 09:37:00,DEV0155,96,match,0
191,204.0,2026-05-03 09:04:00,DEV0359,89,match,0
192,205.0,2026-05-03 09:19:00,DEV0337,96,match,0
193,206.0,2026-05-03 09:32:00,DEV0448,78,match,0
194,207.0,2026-05-03 09:58:00,DEV0323,74,match,0
195,208.0,2026-05-03 09:07:00,DEV0243,90,match,0
196,209.0,2026-05-03 09:35:00,DEV0242,82,match,0
197,210.0,2026-05-03 09:32:00,DEV0477,87,match,0
198,211.0,2026-05-03 09:46:00,DEV0286,71,match,0
199,212.0,2026-05-03 09:33:00,DEV0466,72,match,0
200,213.0,2026-05-03 09:12:00,DEV0420,86,match,0
201,214.0,2026-05-03 09:07:00,DEV0139,78,match,0
202,215.0,2026-05-03 09:41:00,DEV0209,73,match,0
203,216.0,2026-05-03 09:32:00,DEV0197,85,match,0
204,217.0,2026-05-03 09:09:00,DEV0072,97,match,0
205,218.0,2026-05-03 09:27:00,DEV0066,94,match,0
206,219.0,2026-05-03 09:10:00,DEV0039,77,match,0
207,220.0,2026-05-03 09:19:00,DEV0112,86,match,0
208,222.0,2026-05-03 09:00:00,DEV0080,97,match,0
209,223.0,2026-05-03 09:54:00,DEV0093,98,match,0
210,224.0,2026-05-03 09:03:00,DEV0062,70,match,0
211,226.0,2026-05-03 09:25:00,DEV0476,73,match,0
212,227.0,2026-05-03 09:37:00,DEV0333,74,match,0
213,228.0,2026-05-03 09:22:00,DEV0297,95,match,0
214,229.0,2026-05-03 09:34:00,DEV0313,99,match,0
215,230.0,2026-05-03 09:46:00,DEV0359,86,match,0
216,231.0,2026-05-03 09:26:00,DEV0435,87,match,0
217,232.0,2026-05-03 09:34:00,DEV0316,73,match,0
218,233.0,2026-05-03 09:31:00,DEV0330,80,match,0
219,234.0,2026-05-03 09:08:00,DEV0082,84,match,0
220,235.0,2026-05-03 09:46:00,DEV0417,83,match,0
221,236.0,2026-05-03 09:38:00,DEV0325,91,match,0
222,237.0,2026-05-03 09:18:00,DEV0198,78,match,0
223,238.0,2026-05-03 09:34:00,DEV0225,73,match,0
224,240.0,2026-05-03 09:49:00,DEV0188,93,match,0
225,241.0,2026-05-03 09:50:00,DEV0341,82,match,0
226,242.0,2026-05-03 09:49:00,DEV0019,74,match,0
227,243.0,2026-05-03 09:30:00,DEV0044,85,match,0
228,244.0,2026-05-03 09:58:00,DEV0164,77,match,0
229,245.0,2026-05-03 09:24:00,DEV0479,73,match,0
230,246.0,2026-05-03 09:42:00,DEV0422,86,match,0
231,247.0,2026-05-03 09:55:00,DEV0335,85,match,0
232,248.0,2026-05-03 09:06:00,DEV0230,77,match,0
233,249.0,2026-05-03 09:52:00,DEV0456,77,match,0
234,250.0,2026-05-03 09:38:00,DEV0044,85,match,0
235,251.0,2026-05-03 09:33:00,DEV0454,92,match,0
236,252.0,2026-05-03 09:49:00,DEV0111,87,match,0
237,253.0,2026-05-03 09:15:00,DEV0047,88,match,0
238,254.0,2026-05-03 09:21:00,DEV0159,88,match,0
239,255.0,2026-05-03 09:39:00,DEV0088,84,match,0
240,257.0,2026-05-03 09:12:00,DEV0214,98,match,0
241,258.0,2026-05-03 09:49:00,DEV0105,90,match,0
242,259.0,2026-05-03 09:25:00,DEV0193,75,match,0
243,260.0,2026-05-03 09:27:00,DEV0016,96,match,0
244,261.0,2026-05-03 09:47:00,DEV0095,72,match,0
245,262.0,2026-05-03 09:40:00,DEV0338,96,match,0
246,263.0,2026-05-03 09:40:00,DEV0041,98,match,0
247,264.0,2026-05-03 09:47:00,DEV0141,99,match,0
248,265.0,2026-05-03 09:32:00,DEV0472,89,match,0
249,266.0,2026-05-03 09:00:00,DEV0182,71,match,0
250,267.0,2026-05-03 09:30:00,DEV0248,76,match,0
251,269.0,2026-05-03 09:17:00,DEV0331,70,match,0
252,270.0,2026-05-03 09:56:00,DEV0461,86,match,0
253,271.0,2026-05-03 09:37:00,DEV0215,85,match,0
254,272.0,2026-05-03 09:07:00,DEV0073,82,match,0
255,273.0,2026-05-03 09:13:00,DEV0376,73,match,0
256,274.0,2026-05-03 09:19:00,DEV0162,97,match,0
257,275.0,2026-05-03 09:38:00,DEV0169,95,match,0
258,277.0,2026-05-03 09:44:00,DEV0367,86,match,0
259,278.0,2026-05-03 09:46:00,DEV0198,75,match,0
260,279.0,2026-05-03 09:23:00,DEV0425,96,match,0
261,280.0,2026-05-03 09:37:00,DEV0353,79,match,0
262,281.0,2026-05-03 09:51:00,DEV0297,90,match,0
263,282.0,2026-05-03 09:52:00,DEV0062,90,match,0
264,283.0,2026-05-03 09:45:00,DEV0065,87,match,0
265,284.0,2026-05-03 09:26:00,DEV0412,92,match,0
266,285.0,2026-05-03 09:24:00,DEV0358,79,match,0
267,286.0,2026-05-03 09:09:00,DEV0329,82,match,0
268,287.0,2026-05-03 09:08:00,DEV0424,96,match,0
269,288.0,2026-05-03 09:37:00,DEV0154,97,match,0
270,289.0,2026-05-03 09:21:00,DEV0287,74,match,0
271,290.0,2026-05-03 09:04:00,DEV0037,91,match,0
272,291.0,2026-05-03 09:18:00,DEV0496,77,match,0
273,292.0,2026-05-03 09:23:00,DEV0046,87,match,0
274,293.0,2026-05-03 09:41:00,DEV0458,75,match,0
275,294.0,2026-05-03 09:26:00,DEV0493,81,match,0
276,295.0,2026-05-03 09:35:00,DEV0097,89,match,0
277,296.0,2026-05-03 09:12:00,DEV0065,88,match,0
278,297.0,2026-05-03 09:22:00,DEV0287,27,error,1
279,299.0,2026-05-03 09:22:00,DEV0235,80,match,0
280,300.0,2026-05-03 09:17:00,DEV0410,94,match,0
281,301.0,2026-05-03 09:34:00,DEV0125,89,match,0
282,302.0,2026-05-03 09:40:00,DEV0107,70,match,0
283,303.0,2026-05-03 09:32:00,DEV0293,39,error,1
284,304.0,2026-05-03 09:13:00,DEV0034,75,match,0
285,305.0,2026-05-03 09:54:00,DEV0151,87,match,0
286,306.0,2026-05-03 09:43:00,DEV0076,93,match,0
287,307.0,2026-05-03 09:38:00,DEV0407,70,match,0
288,308.0,2026-05-03 09:54:00,DEV0323,85,match,0
289,309.0,2026-05-03 09:57:00,DEV0421,81,match,0
290,310.0,2026-05-03 09:20:00,DEV0221,79,match,0
291,311.0,2026-05-03 09:25:00,DEV0276,84,match,0
292,312.0,2026-05-03 09:00:00,DEV0438,99,match,0
293,313.0,2026-05-03 09:00:00,DEV0265,92,match,0
294,314.0,2026-05-03 09:33:00,DEV0238,99,match,0
295,315.0,2026-05-03 09:00:00,DEV0151,75,match,0
296,316.0,2026-05-03 09:49:00,DEV0194,85,match,0
297,317.0,2026-05-03 09:26:00,DEV0341,98,match,0
298,318.0,2026-05-03 09:16:00,DEV0043,77,match,0
299,319.0,2026-05-03 09:41:00,DEV0311,82,match,0
300,320.0,2026-05-03 09:02:00,DEV0431,75,match,0
301,321.0,2026-05-03 09:32:00,DEV0008,80,match,0
302,322.0,2026-05-03 09:32:00,DEV0109,93,match,0
303,323.0,2026-05-03 09:23:00,DEV0479,99,match,0
304,324.0,2026-05-03 09:04:00,DEV0054,78,match,0
305,325.0,2026-05-03 09:57:00,DEV0302,76,match,0
306,326.0,2026-05-03 09:58:00,DEV0062,91,match,0
307,327.0,2026-05-03 09:49:00,DEV0042,91,match,0
308,328.0,2026-05-03 09:48:00,DEV0109,86,match,0
309,329.0,2026-05-03 09:24:00,DEV0259,71,match,0
310,330.0,2026-05-03 09:17:00,DEV0037,87,match,0
311,331.0,2026-05-03 09:21:00,DEV0198,91,match,0
312,332.0,2026-05-03 09:53:00,DEV0320,91,match,0
313,333.0,2026-05-03 09:45:00,DEV0112,81,match,0
314,334.0,2026-05-03 09:27:00,DEV0023,81,match,0
315,335.0,2026-05-03 09:30:00,DEV0068,70,match,0
316,336.0,2026-05-03 09:27:00,DEV0014,94,match,0
317,337.0,2026-05-03 09:15:00,DEV0267,70,match,0
318,338.0,2026-05-03 09:02:00,DEV0497,71,match,0
319,339.0,2026-05-03 09:28:00,DEV0411,77,match,0
320,340.0,2026-05-03 09:51:00,DEV0487,86,match,0
321,341.0,2026-05-03 09:20:00,DEV0369,88,match,0
322,342.0,2026-05-03 09:04:00,DEV0396,71,match,0
323,343.0,2026-05-03 09:29:00,DEV0194,82,match,0
324,344.0,2026-05-03 09:50:00,DEV0420,86,match,0
325,345.0,2026-05-03 09:53:00,DEV0002,90,match,0
326,347.0,2026-05-03 09:22:00,DEV0328,96,match,0
327,348.0,2026-05-03 09:27:00,DEV0137,99,match,0
328,350.0,2026-05-03 09:02:00,DEV0274,72,match,0
329,351.0,2026-05-03 09:58:00,DEV0350,74,match,0
330,352.0,2026-05-03 09:11:00,DEV0305,85,match,0
331,354.0,2026-05-03 09:54:00,DEV0003,93,match,0
332,355.0,2026-05-03 09:55:00,DEV0208,73,match,0
333,356.0,2026-05-03 09:57:00,DEV0287,75,match,0
334,357.0,2026-05-03 09:36:00,DEV0105,75,match,0
335,358.0,2026-05-03 09:13:00,DEV0371,79,match,0
336,359.0,2026-05-03 09:28:00,DEV0341,98,match,0
337,360.0,2026-05-03 09:41:00,DEV0392,85,match,0
338,361.0,2026-05-03 09:01:00,DEV0017,82,match,0
339,362.0,2026-05-03 09:34:00,DEV0417,83,match,0
340,363.0,2026-05-03 09:43:00,DEV0129,79,match,0
341,364.0,2026-05-03 09:28:00,DEV0291,99,match,0
342,365.0,2026-05-03 09:41:00,DEV0281,92,match,0
343,366.0,2026-05-03 09:45:00,DEV0286,74,match,0
344,367.0,2026-05-03 09:12:00,DEV0285,88,match,0
345,368.0,2026-05-03 09:47:00,DEV0455,74,match,0
346,369.0,2026-05-03 09:22:00,DEV0056,90,match,0
347,370.0,2026-05-03 09:11:00,DEV0102,91,match,0
348,371.0,2026-05-03 09:41:00,DEV0037,75,match,0
349,372.0,2026-05-03 09:19:00,DEV0229,96,match,0
350,373.0,2026-05-03 09:24:00,DEV0394,86,match,0
351,374.0,2026-05-03 09:28:00,DEV0286,98,match,0
352,375.0,2026-05-03 09:33:00,DEV0251,87,match,0
353,376.0,2026-05-03 09:40:00,DEV0205,71,match,0
354,377.0,2026-05-03 09:47:00,DEV0039,76,match,0
355,378.0,2026-05-03 09:22:00,DEV0143,90,match,0
356,379.0,2026-05-03 09:01:00,DEV0215,82,match,0
357,380.0,2026-05-03 09:04:00,DEV0039,72,match,0
358,381.0,2026-05-03 09:44:00,DEV0382,95,match,0
359,382.0,2026-05-03 09:16:00,DEV0163,74,match,0
360,383.0,2026-05-03 09:09:00,DEV0116,80,match,0
361,384.0,2026-05-03 09:08:00,DEV0418,72,match,0
362,385.0,2026-05-03 09:48:00,DEV0448,76,match,0
363,386.0,2026-05-03 09:08:00,DEV0004,88,match,0
364,387.0,2026-05-03 09:47:00,DEV0133,79,match,0
365,388.0,2026-05-03 09:17:00,DEV0087,98,match,0
366,389.0,2026-05-03 09:56:00,DEV0006,90,match,0
367,390.0,2026-05-03 09:26:00,DEV0153,88,match,0
368,391.0,2026-05-03 09:14:00,DEV0061,86,match,0
369,392.0,2026-05-03 09:32:00,DEV0387,94,match,0
370,393.0,2026-05-03 09:19:00,DEV0021,74,match,0
371,394.0,2026-05-03 09:56:00,DEV0311,92,match,0
372,395.0,2026-05-03 09:48:00,DEV0404,74,match,0
373,396.0,2026-05-03 09:01:00,DEV0359,79,match,0
374,397.0,2026-05-03 09:57:00,DEV0213,83,match,0
375,398.0,2026-05-03 09:11:00,DEV0195,73,match,0
376,399.0,2026-05-03 09:21:00,DEV0489,85,match,0
377,400.0,2026-05-03 09:04:00,DEV0175,85,match,0
378,401.0,2026-05-03 09:03:00,DEV0087,78,match,0
379,402.0,2026-05-03 09:27:00,DEV0303,71,match,0
380,403.0,2026-05-03 09:29:00,DEV0355,84,match,0
381,404.0,2026-05-03 09:08:00,DEV0465,73,match,0
382,405.0,2026-05-03 09:06:00,DEV0458,87,match,0
383,406.0,2026-05-03 09:45:00,DEV0094,90,match,0
384,407.0,2026-05-03 09:12:00,DEV0301,74,match,0
385,408.0,2026-05-03 09:39:00,DEV0200,82,match,0
386,409.0,2026-05-03 09:51:00,DEV0239,91,match,0
387,410.0,2026-05-03 09:46:00,DEV0117,90,match,0
388,411.0,2026-05-03 09:14:00,DEV0014,71,match,0
389,412.0,2026-05-03 09:53:00,DEV0454,72,match,0
390,413.0,2026-05-03 09:14:00,DEV0409,94,match,0
391,414.0,2026-05-03 09:43:00,DEV0322,92,match,0
392,415.0,2026-05-03 09:28:00,DEV0137,77,match,0
393,416.0,2026-05-03 09:33:00,DEV0422,84,match,0
394,417.0,2026-05-03 09:34:00,DEV0292,79,match,0
395,418.0,2026-05-03 09:22:00,DEV0004,99,match,0
396,419.0,2026-05-03 09:32:00,DEV0118,87,match,0
397,420.0,2026-05-03 09:57:00,DEV0112,83,match,0
398,421.0,2026-05-03 09:58:00,DEV0174,87,match,0
399,423.0,2026-05-03 09:36:00,DEV0439,76,match,0
400,424.0,2026-05-03 09:52:00,DEV0063,91,match,0
401,425.0,2026-05-03 09:55:00,DEV0308,95,match,0
402,426.0,2026-05-03 09:35:00,DEV0432,96,match,0
403,427.0,2026-05-03 09:00:00,DEV0251,97,match,0
404,428.0,2026-05-03 09:38:00,DEV0068,71,match,0
405,429.0,2026-05-03 09:39:00,DEV0219,96,match,0
406,430.0,2026-05-03 09:38:00,DEV0177,97,match,0
407,431.0,2026-05-03 09:34:00,DEV0097,82,match,0
408,432.0,2026-05-03 09:27:00,DEV0188,71,match,0
409,433.0,2026-05-03 09:27:00,DEV0288,56,no_match,2
410,434.0,2026-05-03 09:00:00,DEV0473,83,match,0
411,435.0,2026-05-03 09:11:00,DEV0063,72,match,0
412,436.0,2026-05-03 09:50:00,DEV0378,95,match,0
413,437.0,2026-05-03 09:30:00,DEV0429,93,match,0
414,438.0,2026-05-03 09:17:00,DEV0252,75,match,0
415,439.0,2026-05-03 09:28:00,DEV0113,33,error,1
416,441.0,2026-05-03 09:01:00,DEV0106,73,match,0
417,442.0,2026-05-03 09:20:00,DEV0383,79,match,0
418,443.0,2026-05-03 09:11:00,DEV0265,83,match,0
419,444.0,2026-05-03 09:30:00,DEV0283,83,match,0
420,445.0,2026-05-03 09:29:00,DEV0402,49,no_match,2
421,446.0,2026-05-03 09:37:00,DEV0201,72,match,0
422,447.0,2026-05-03 09:38:00,DEV0061,71,match,0
423,448.0,2026-05-03 09:55:00,DEV0108,81,match,0
424,449.0,2026-05-03 09:29:00,DEV0224,82,match,0
425,450.0,2026-05-03 09:54:00,DEV0360,88,match,0
426,451.0,2026-05-03 09:33:00,DEV0358,77,match,0
427,452.0,2026-05-03 09:50:00,DEV0407,77,match,0
428,453.0,2026-05-03 09:36:00,DEV0405,96,match,0
429,454.0,2026-05-03 09:29:00,DEV0047,83,match,0
430,455.0,2026-05-03 09:17:00,DEV0420,96,match,0
431,456.0,2026-05-03 09:34:00,DEV0262,97,match,0
432,457.0,2026-05-03 09:43:00,DEV0095,77,match,0
433,458.0,2026-05-03 09:41:00,DEV0347,98,match,0
434,459.0,2026-05-03 09:22:00,DEV0105,75,match,0
435,460.0,2026-05-03 09:18:00,DEV0155,80,match,0
436,461.0,2026-05-03 09:45:00,DEV0121,72,match,0
437,462.0,2026-05-03 09:58:00,DEV0461,80,match,0
438,463.0,2026-05-03 09:01:00,DEV0055,84,match,0
439,464.0,2026-05-03 09:11:00,DEV0134,94,match,0
440,465.0,2026-05-03 09:53:00,DEV0082,90,match,0
441,466.0,2026-05-03 09:16:00,DEV0371,96,match,0
442,467.0,2026-05-03 09:32:00,DEV0058,83,match,0
443,468.0,2026-05-03 09:53:00,DEV0265,83,match,0
444,469.0,2026-05-03 09:23:00,DEV0026,76,match,0
445,470.0,2026-05-03 09:46:00,DEV0040,83,match,0
446,471.0,2026-05-03 09:02:00,DEV0211,73,match,0
447,472.0,2026-05-03 09:34:00,DEV0125,76,match,0
448,473.0,2026-05-03 09:15:00,DEV0294,90,match,0
