score_id,candidate_id,physics_score,chemistry_score,biology_score,total_score,response_time_variance,changed_answer_correct_rate,question_paper_set_id,percentile,rank
33,33,53.8,90.5,121.7,266.0,23.85,0.147,3,52.45275968826733,8905
34,34,72.2,82.4,104.0,258.7,21.59,0.39,1,47.77943845414754,9779
35,35,97.1,44.4,88.4,229.9,14.06,0.396,3,29.95089142735134,13118
36,36,46.6,83.8,91.2,221.6,14.05,0.121,1,25.354969574036513,13978
37,37,43.6,60.6,89.9,194.1,19.89,0.234,1,12.989751254403759,16297
38,38,102.9,27.0,134.0,263.9,13.39,0.226,1,51.06757766627522,9159
39,39,63.1,101.4,32.2,196.7,9.41,0.354,3,14.070673641507419,16095
40,40,64.9,68.7,112.0,245.6,14.37,0.41,2,39.47902209885769,11337
41,41,97.0,101.4,52.8,251.2,18.14,0.234,3,42.93797373758941,10689
42,42,81.3,112.9,76.9,271.1,15.08,0.278,3,55.65549268709299,8301
43,43,143.6,55.9,117.3,316.7,16.79,0.367,1,79.52652930500695,3833
44,44,45.0,1.0,107.8,153.8,9.95,0.28,3,3.6964876694779547,18042
45,45,107.4,69.4,121.7,298.5,15.9,0.105,2,71.13269990391801,5404
46,46,62.5,93.2,87.6,243.4,13.25,0.306,2,38.171239457670545,11576
47,47,148.4,111.9,124.4,384.7,21.17,0.189,3,94.592719120316,1013
49,49,89.3,100.3,79.7,269.3,10.1,0.164,4,54.3797373758941,8545
50,50,53.3,100.1,83.4,236.8,12.63,0.283,3,34.02103128002562,12357
51,51,98.8,119.9,168.3,387.0,15.96,0.125,1,94.74217999359453,986
52,52,136.6,97.7,31.5,265.9,10.31,0.215,3,52.39404291662218,8913
53,53,75.4,72.7,118.5,266.6,20.5,0.204,1,52.82107398313227,8834
54,54,121.4,68.0,63.0,252.4,17.63,0.23,4,43.66926443898794,10545
55,55,130.6,104.6,134.7,369.9,16.55,0.242,3,93.18885448916409,1276
56,56,53.7,85.0,105.0,243.7,13.73,0.18,3,38.37941710259422,11539
57,57,151.8,39.7,113.2,304.8,16.65,0.358,1,74.29806768442404,4812
58,58,72.1,128.0,120.6,320.7,13.68,0.403,1,81.09586847443151,3539
59,59,0.7,37.9,145.1,183.7,10.97,0.442,2,9.677591544784883,16915
60,60,51.5,44.9,49.4,145.9,8.19,0.371,4,2.7329988256645668,18222
61,61,46.5,52.4,99.8,198.6,24.53,0.217,4,14.841998505391269,15953
62,62,57.1,71.1,76.4,204.6,13.14,0.392,3,17.342799188640974,15480
64,64,87.7,81.8,78.8,248.3,9.77,0.418,3,41.02700971495676,11043
66,66,121.6,36.7,168.5,326.8,15.1,0.35,2,83.33244368527811,3120
67,67,45.8,61.2,62.0,169.0,11.99,0.208,3,6.242660403544358,17564
68,68,98.6,40.4,18.4,157.4,22.65,0.31,4,4.184904451798868,17950
69,69,47.3,148.6,112.2,308.1,18.57,0.328,3,75.80335219387212,4530
70,70,35.4,109.7,98.2,243.4,21.21,0.217,3,38.171239457670545,11576
71,71,150.5,137.9,101.0,389.4,13.89,0.348,3,94.87829614604463,960
72,72,95.3,135.2,134.4,364.9,23.43,0.127,2,92.48425322942244,1408
73,73,81.8,15.3,39.9,137.1,16.14,0.167,4,1.9509981851179674,18369
74,74,73.2,61.7,88.9,223.8,11.88,0.267,1,26.66809010355503,13738
75,75,58.9,98.7,180.0,337.6,23.07,0.413,3,86.70332016654211,2490
76,76,110.2,165.6,149.4,425.3,11.65,0.194,4,96.23145083804847,706
77,77,53.0,155.9,132.5,341.4,20.21,0.436,1,87.76555994448596,2292
78,78,89.9,63.9,8.7,162.5,9.55,0.344,3,4.9428845948542754,17807
79,79,91.5,97.6,64.8,253.9,8.61,0.154,2,44.73684210526316,10348
80,80,97.5,180.0,136.1,413.6,8.17,0.357,1,95.99658375146792,751
81,81,110.4,180.0,134.7,425.2,13.37,0.417,3,96.22077506138571,709
82,82,68.7,38.2,92.5,199.4,23.58,0.185,4,15.135582363616953,15897
83,83,65.3,60.6,128.1,254.0,9.06,0.217,2,44.80089676523967,10337
84,84,111.1,83.7,56.7,251.5,19.81,0.107,1,43.13013771751895,10647
86,86,32.8,66.1,151.2,250.1,11.06,0.115,1,42.220027757019324,10819
87,87,102.7,101.4,88.0,292.1,15.08,0.419,4,67.84722963595601,6015
88,88,97.6,31.3,67.0,195.9,17.94,0.266,3,13.731717732465038,16159
89,89,96.0,71.5,47.8,215.2,18.77,0.433,2,22.392441550122772,14533
90,90,113.4,96.0,55.1,264.5,24.97,0.272,1,51.534642895270636,9076
91,91,112.0,114.6,0.0,226.6,19.51,0.308,2,28.119995729689336,13463
92,92,77.1,43.5,93.0,213.5,21.2,0.38,1,21.581082523753604,14688
93,93,41.8,41.4,20.4,103.6,21.19,0.435,1,0.4430447315042169,18652
94,94,151.4,147.3,147.1,445.7,1.4,0.764,4,96.97341731610975,567
95,95,94.8,96.4,83.0,274.2,23.03,0.421,1,57.60115298387958,7939
96,96,115.1,144.3,86.9,346.3,21.26,0.177,1,88.93188854489165,2071
97,97,53.3,160.3,136.7,350.3,15.78,0.112,3,89.82865378456283,1904
99,99,114.6,58.6,118.3,291.5,19.86,0.245,2,67.42019856944593,6100
101,101,59.3,20.7,137.6,217.7,9.14,0.359,4,23.484039713889185,14333
102,102,119.8,93.2,120.8,333.8,14.61,0.398,4,85.67577666275221,2682
103,103,163.5,58.8,55.3,277.7,8.87,0.166,2,59.48542756485534,7586
104,104,101.6,49.0,126.3,276.8,18.57,0.342,2,58.99167289420305,7676
105,105,103.4,33.7,126.9,264.1,12.0,0.262,4,51.20369381872531,9134
106,106,45.7,53.0,106.2,204.9,24.14,0.34,3,17.478915341091064,15457
107,107,17.2,100.5,160.2,277.9,11.61,0.255,1,59.59752321981424,7563
108,108,53.5,95.9,166.4,315.9,23.22,0.2,1,79.14487028931354,3903
109,109,93.5,98.8,62.7,255.1,13.01,0.179,2,45.577559517454894,10190
110,110,70.5,80.6,126.0,277.2,19.46,0.124,3,59.234546813280666,7634
111,111,108.0,80.1,135.2,323.4,18.68,0.206,4,82.14476353154691,3341
112,112,88.1,49.6,132.9,270.6,13.4,0.37,2,55.305861001387846,8369
113,113,146.9,143.5,37.3,327.7,19.43,0.445,2,83.67406853848618,3056
115,115,68.3,74.8,90.2,233.4,14.07,0.329,1,31.997971602434077,12732
116,116,78.8,136.9,90.3,306.0,9.41,0.15,3,74.8638838475499,4704
117,117,117.2,29.4,157.1,303.7,8.33,0.392,2,73.73225152129818,4915
118,118,137.5,80.9,82.1,300.5,23.04,0.226,1,72.27767695099818,5190
119,119,97.8,64.2,54.4,216.4,24.57,0.42,1,22.93156827159176,14435
120,120,111.8,48.3,98.4,258.5,13.62,0.22,1,47.64332230169745,9804
121,121,135.4,75.9,95.3,306.6,19.75,0.3,2,75.10675776662752,4659
122,122,35.3,81.5,38.6,155.4,20.88,0.152,2,3.9073342585673103,18000
123,123,104.8,97.2,111.9,313.9,12.86,0.271,2,78.29347710045906,4064
124,124,41.0,96.8,130.7,268.5,17.37,0.254,2,54.01142308102914,8612
125,125,26.2,87.4,41.1,154.7,14.3,0.172,3,3.7685491619515323,18027
126,126,48.9,52.7,108.9,210.5,23.92,0.332,1,20.073129070139853,14970
127,127,81.4,58.1,145.6,285.1,21.17,0.397,3,63.76374506245329,6784
128,128,65.2,99.4,111.1,275.7,20.13,0.396,4,58.316430020283974,7802
130,130,101.5,89.1,135.8,326.4,19.48,0.221,2,83.16963809117112,3150
131,131,88.3,44.8,145.4,278.5,11.25,0.397,4,59.95249279385075,7501
132,132,88.8,103.7,125.3,317.8,11.11,0.212,1,79.95622931568272,3751
133,133,105.7,42.1,116.9,264.7,10.88,0.281,2,51.6307248852354,9058
134,134,88.7,81.9,83.8,254.4,9.79,0.131,2,45.081135902636916,10284
135,135,17.4,55.1,79.1,151.6,9.27,0.125,1,3.4082416995836446,18095
136,136,83.4,73.3,58.5,215.1,15.49,0.213,1,22.325717945980568,14548
137,137,135.2,129.0,118.4,382.7,13.19,0.328,4,94.47528557702573,1036
138,138,73.7,93.2,84.4,251.4,20.12,0.125,1,43.05006939254831,10664
139,139,86.5,34.0,147.4,267.9,15.36,0.351,3,53.62976406533575,8680
140,140,86.7,134.0,103.5,324.2,13.81,0.374,4,82.40898900395004,3294
141,141,149.6,128.3,171.2,449.2,1.91,0.822,2,97.24031173267855,518
142,142,61.6,44.6,115.2,221.4,11.02,0.45,3,25.242873919077613,14000
143,143,158.2,91.0,169.2,418.5,15.79,0.406,4,96.11935518308957,728
144,144,88.3,53.3,102.6,244.3,15.76,0.239,4,38.761076118287605,11465
145,145,78.8,93.2,156.7,328.8,9.52,0.165,4,84.026369168357,2989
146,146,75.5,54.4,105.0,234.9,12.87,0.246,1,32.93477100459059,12560
147,147,145.8,143.9,149.2,439.0,2.07,0.762,2,96.61844774207323,634
148,148,112.1,48.9,119.3,280.3,13.18,0.181,2,60.98270524180634,7306
149,149,81.3,93.7,127.7,302.6,13.47,0.299,1,73.29454467812533,4999
150,150,60.4,141.1,50.9,252.4,9.7,0.235,1,43.66926443898794,10545
151,151,96.4,52.4,32.8,181.5,8.34,0.139,4,9.053058610013878,17038
152,152,46.9,72.2,40.6,159.7,19.36,0.294,3,4.515853528344187,17887
153,153,153.3,41.6,27.1,222.0,24.58,0.395,1,25.568485107291554,13940
154,154,50.8,90.4,70.1,211.4,24.92,0.316,3,20.505498024981318,14891
155,155,109.2,40.8,111.5,261.6,16.95,0.195,2,49.52492793850753,9451
156,156,68.8,125.5,62.9,257.1,9.96,0.417,3,46.83730116365965,9956
157,157,77.2,45.9,120.9,244.0,9.66,0.197,1,38.53421586420412,11510
158,158,109.2,103.2,86.6,299.1,15.85,0.415,4,71.4476353154692,5340
159,159,109.3,92.7,85.7,287.7,12.0,0.283,1,65.12757553111989,6530
160,160,5.3,126.6,63.7,195.6,12.04,0.279,1,13.598270524180634,16184
161,161,1.0,52.6,124.5,178.1,11.77,0.415,1,8.22835486281627,17191
162,162,50.4,87.3,96.7,234.4,23.6,0.151,4,32.55844987722857,12628
163,163,50.6,100.1,113.4,264.2,18.51,0.146,3,51.29176897619302,9119
164,164,60.5,125.7,95.4,281.5,10.53,0.105,4,61.66328600405679,7177
165,165,76.8,70.4,44.3,191.5,9.78,0.239,1,12.14903384221202,16458
166,166,126.2,21.0,121.5,268.6,17.91,0.419,1,54.0674709085086,8601
167,167,106.6,75.2,52.9,234.8,12.33,0.358,4,32.878723177111134,12571
169,169,129.5,112.1,134.2,375.8,8.65,0.307,2,93.82139425643216,1158
170,170,100.0,83.1,73.6,256.8,18.83,0.412,2,46.6931781787125,9981
171,171,128.0,70.4,140.6,339.0,23.73,0.441,2,87.07964129390413,2418
172,172,62.7,98.5,74.6,235.8,12.15,0.14,3,33.40183623358599,12473
173,173,136.8,72.6,64.6,274.0,17.55,0.337,2,57.491726273086364,7960
174,174,89.0,61.4,114.6,265.0,14.06,0.191,4,51.81755097683356,9022
175,175,47.0,107.8,125.0,279.9,9.03,0.354,4,60.761182876054235,7346
176,176,83.6,103.5,22.7,209.7,20.99,0.368,3,19.66211166862389,15048
177,177,99.4,91.2,114.6,305.1,24.65,0.44,2,74.46087327853101,4782
178,178,140.5,57.1,93.4,291.0,14.94,0.391,1,67.12928365538593,6151
179,179,78.3,49.3,70.6,198.2,15.86,0.179,2,14.663179246290166,15985
180,180,140.9,148.4,152.2,441.5,1.99,0.727,2,96.74655706202626,610
181,181,66.0,73.3,65.5,204.9,10.76,0.236,2,17.478915341091064,15457
182,182,71.4,87.0,108.5,266.9,20.61,0.196,4,52.99989324223338,8801
183,183,94.8,90.9,87.6,273.3,8.53,0.289,4,57.059357318244906,8043
184,184,107.5,71.1,80.3,258.9,9.66,0.428,3,47.92089249492901,9751
185,185,47.6,39.7,43.2,130.6,9.04,0.136,1,1.4972776769509981,18453
186,186,91.7,99.9,140.1,331.8,18.71,0.189,2,85.05658161631258,2797
187,187,102.6,73.6,105.4,281.7,21.96,0.198,1,61.788726379844135,7155
188,188,102.7,26.0,83.4,212.1,16.58,0.412,4,20.84712287818939,14827
189,189,51.3,63.3,90.7,205.3,21.92,0.316,4,17.641720935198034,15427
190,190,63.8,89.3,101.7,254.8,11.43,0.386,2,45.356037151702786,10231
191,191,39.8,163.5,61.9,265.2,11.38,0.236,2,51.940322408455216,8998
192,192,43.9,89.1,150.7,283.7,23.35,0.19,1,62.96839970107825,6932
194,194,50.1,62.0,107.5,219.7,11.2,0.384,4,24.375467065228996,14166
195,195,89.6,119.1,80.9,289.6,24.09,0.294,2,66.29123518735987,6312
196,196,70.1,108.0,35.7,213.8,12.7,0.359,3,21.70919184370663,14665
198,198,66.0,52.7,77.1,195.8,17.64,0.288,3,13.689014625814028,16167
199,199,93.5,51.2,50.3,195.0,22.43,0.182,3,13.37141027009715,16225
200,200,67.7,145.5,14.4,227.5,21.35,0.102,3,28.59239884701612,13371
201,201,90.9,63.3,57.0,211.2,11.53,0.291,1,20.4200918116793,14906
202,202,153.3,171.0,160.4,484.7,1.87,0.867,1,99.87722856837836,24
203,203,96.8,58.0,57.4,212.2,8.2,0.224,4,20.892494929006087,14816
204,204,50.5,82.2,92.3,225.0,20.22,0.217,2,27.28995409416035,13618
205,205,63.3,59.4,55.5,178.1,10.22,0.224,1,8.22835486281627,17191
206,206,57.1,79.6,114.8,251.4,14.99,0.318,2,43.05006939254831,10664
207,207,180.0,73.2,111.8,365.0,10.26,0.359,1,92.50560478274794,1403
208,208,114.5,47.2,74.3,236.0,25.0,0.286,2,33.532614497704714,12447
209,209,73.0,57.5,145.7,276.2,23.43,0.39,1,58.60734493434398,7754
210,210,101.1,97.8,75.0,273.9,19.09,0.196,1,57.4410163339383,7970
211,211,176.2,148.5,109.8,434.4,9.56,0.365,4,96.43962848297214,668
212,212,107.4,78.7,152.9,338.9,11.78,0.201,2,87.05028290808157,2426
213,213,65.1,135.3,112.9,313.3,15.42,0.376,2,78.0399274047187,4110
214,214,35.4,117.0,126.5,278.9,13.1,0.175,4,60.190028824596986,7454
215,215,61.0,72.1,99.1,232.3,11.6,0.397,4,31.330735561012062,12860
216,216,157.3,151.4,105.4,414.1,21.36,0.224,2,96.02594213729049,745
217,217,96.9,87.4,46.4,230.7,17.43,0.116,3,30.399274047186932,13034
218,218,124.0,0.0,108.0,232.0,11.6,0.155,1,31.149247357745274,12893
219,219,84.6,79.9,128.1,292.6,23.07,0.274,4,68.1167929966905,5970
220,220,43.8,65.6,112.6,222.0,14.2,0.11,4,25.568485107291554,13940
222,222,135.5,122.6,131.2,389.3,9.32,0.3,4,94.87028931354756,962
223,223,139.3,39.5,140.8,319.7,10.23,0.193,3,80.77025728621757,3601
224,224,55.3,117.4,113.9,286.6,21.03,0.257,3,64.55108359133128,6637
226,226,60.5,20.3,60.2,141.0,11.56,0.175,3,2.3032988149887905,18303
227,227,80.0,80.0,33.1,193.2,12.15,0.409,4,12.733532614497706,16346
228,228,103.1,53.0,106.9,263.0,13.13,0.305,4,50.39233479235614,9286
229,229,127.8,135.8,103.1,366.7,11.4,0.174,1,92.77249919931675,1352
230,230,90.7,52.0,93.9,236.6,17.32,0.205,1,33.89025301590691,12380
231,231,147.4,118.4,89.8,355.5,22.62,0.39,4,90.83484573502723,1716
232,232,107.4,90.7,126.7,324.8,23.51,0.423,1,82.61182876054232,3255
233,233,109.5,109.0,100.7,319.2,13.31,0.23,2,80.5620796412939,3637
234,234,101.5,69.4,81.7,252.6,13.4,0.137,1,43.83207003309491,10516
235,235,90.2,115.6,85.1,290.8,15.14,0.115,4,66.98516067043877,6179
236,236,126.6,46.4,154.2,327.2,20.66,0.383,1,83.47656667022527,3093
237,237,79.6,101.3,131.9,312.8,17.96,0.13,2,77.86644603394896,4143
238,238,97.5,69.1,99.4,266.1,21.69,0.199,2,52.50346962741539,8894
240,240,128.8,77.7,85.9,292.5,22.48,0.116,4,68.05807622504537,5979
241,241,75.3,52.5,108.6,236.4,16.78,0.113,4,33.77548841678232,12403
242,242,9.9,44.5,99.1,153.4,19.99,0.43,3,3.66179139532401,18048
243,243,155.1,53.2,49.2,257.6,16.06,0.43,2,47.10152663606277,9909
244,244,89.8,129.4,97.9,317.2,17.89,0.271,1,79.69467278744528,3802
245,245,99.3,57.0,58.1,214.4,16.75,0.263,4,21.981424148606813,14612
246,246,45.4,75.5,121.3,242.2,14.53,0.279,4,37.34119782214156,11729
247,247,76.7,74.6,144.9,296.2,8.15,0.357,4,69.91032347603287,5632
248,248,118.3,74.1,93.7,286.1,23.46,0.391,2,64.27084445393403,6688
249,249,58.6,48.3,68.7,175.6,24.38,0.361,4,7.633180313867833,17304
250,250,77.8,83.9,85.2,247.0,10.29,0.375,1,40.29305006939255,11181
251,251,109.3,148.9,138.8,396.9,12.9,0.108,2,95.29198249172627,883
252,252,48.9,59.9,139.1,247.9,15.74,0.189,3,40.845521511689974,11078
253,253,86.6,70.4,87.2,244.2,9.32,0.285,3,38.6730009608199,11483
254,254,96.3,141.2,94.6,332.1,11.35,0.402,4,85.16333938294011,2777
255,255,86.3,53.5,51.3,191.1,8.89,0.132,3,12.012917689761931,16480
257,257,108.8,48.1,84.8,241.7,8.96,0.428,3,37.06629657307569,11786
258,258,147.4,125.0,68.1,340.5,11.02,0.429,3,87.56538913205935,2326
259,259,100.0,30.1,140.0,270.1,22.51,0.284,1,54.918864097363084,8439
260,260,94.8,65.4,85.3,245.5,10.46,0.347,4,39.430981103875304,11342
261,261,71.4,80.4,99.1,251.0,14.59,0.219,4,42.82587808263052,10705
262,262,26.3,69.8,91.8,187.9,12.73,0.224,1,10.990712074303406,16675
263,263,110.6,61.2,108.5,280.3,8.08,0.348,1,60.98270524180634,7306
264,264,144.9,83.5,58.8,287.2,19.08,0.441,2,64.88470161204228,6577
265,265,99.2,33.1,108.9,241.2,11.08,0.165,3,36.746023273193124,11845
266,266,116.5,100.3,55.2,272.0,13.11,0.362,2,56.29070139852674,8184
267,267,137.6,3.4,107.4,248.5,10.04,0.313,3,41.15511903490979,11018
269,269,148.8,76.2,93.8,318.8,24.52,0.114,3,80.3619088288673,3674
270,270,96.9,122.9,105.1,324.9,11.47,0.281,3,82.64652503469627,3250
271,271,84.3,127.0,71.6,283.0,22.78,0.103,4,62.52802391373973,7015
272,272,89.6,0.0,144.9,234.4,9.44,0.18,3,32.55844987722857,12628
273,273,139.7,121.7,135.0,396.4,17.46,0.11,2,95.27063093840077,887
274,274,111.8,124.2,99.0,335.0,17.8,0.155,3,86.01740151596029,2619
275,275,84.3,29.1,115.2,228.5,12.14,0.264,1,29.17956656346749,13263
277,277,88.4,120.8,64.3,273.4,17.1,0.309,4,57.11006725739297,8030
278,278,132.5,84.9,106.9,324.3,10.03,0.311,3,82.4383473897726,3289
279,279,74.2,0.0,91.6,165.8,16.99,0.191,2,5.519376534642896,17699
280,280,165.5,143.5,158.4,467.4,0.79,0.789,4,98.91640866873065,203
281,281,79.7,86.5,51.4,217.7,8.54,0.41,2,23.484039713889185,14333
282,282,65.7,26.9,46.7,139.2,19.85,0.292,1,2.121810611722003,18337
283,283,65.8,91.1,87.8,244.8,15.04,0.267,2,39.04398419985054,11416
284,284,58.5,77.9,117.2,253.5,21.73,0.191,4,44.46460980036298,10399
285,285,112.6,155.7,155.0,423.2,15.54,0.35,4,96.19408561972882,714
286,286,44.8,36.2,113.1,194.1,9.35,0.2,3,12.989751254403759,16297
287,287,160.8,138.6,110.7,410.1,17.68,0.437,4,95.88715704067471,771
288,288,110.0,62.0,85.5,257.6,13.98,0.449,2,47.10152663606277,9909
289,289,89.7,131.6,110.7,331.9,8.47,0.191,4,85.09127789046653,2792
290,290,152.9,65.4,105.6,323.8,14.98,0.283,4,82.29956229315682,3315
291,291,15.0,121.3,132.8,269.1,11.33,0.232,2,54.2889932742607,8561
292,292,144.3,139.4,162.0,445.8,1.81,0.93,4,96.98943098110388,564
293,293,78.6,26.2,84.8,189.7,13.63,0.157,2,11.564535069926338,16567
294,294,82.0,69.3,102.3,253.6,17.19,0.14,1,44.53667129283655,10385
295,295,89.5,140.8,75.9,306.2,15.68,0.176,3,74.9546279491833,4690
296,296,112.8,102.8,108.0,323.5,18.75,0.334,2,82.19547347069499,3333
297,297,140.4,70.6,180.0,391.0,11.82,0.447,4,94.98505391267214,939
299,299,61.6,111.3,72.1,245.0,12.77,0.411,3,39.169424575637876,11391
300,300,111.8,7.2,171.2,290.1,18.24,0.314,2,66.60617059891108,6252
301,301,34.1,114.8,89.9,238.7,20.17,0.232,4,35.240738763745064,12128
302,302,70.4,91.3,95.6,257.3,20.34,0.423,3,46.94138998612149,9934
303,303,120.2,7.2,80.9,208.3,12.03,0.29,3,19.12832283548628,15149
304,304,36.3,36.9,106.1,179.3,22.72,0.169,4,8.505925056047827,17140
305,305,42.9,71.6,93.2,207.8,18.33,0.126,1,18.86943525141454,15194
306,306,37.1,67.1,65.3,169.6,9.35,0.342,1,6.370769723497384,17540
307,307,95.0,99.3,116.0,310.3,14.59,0.106,2,76.89761930180421,4323
308,308,89.4,126.2,70.6,286.2,14.76,0.372,4,64.32689228141348,6681
309,309,101.8,86.9,118.8,307.6,21.1,0.44,3,75.57115405145724,4575
310,310,0.0,99.7,88.8,188.4,19.67,0.416,3,11.129497170919185,16646
311,311,117.4,45.5,31.2,194.2,10.75,0.201,4,13.029785416889078,16292
312,312,28.4,97.9,138.0,264.2,12.16,0.383,4,51.29176897619302,9119
313,313,81.5,100.7,142.6,324.8,18.67,0.393,1,82.61182876054232,3255
314,314,122.3,119.3,123.0,364.7,17.4,0.183,4,92.42820540194299,1416
315,315,55.2,50.1,100.4,205.8,11.02,0.255,4,17.91128429593253,15376
316,316,84.8,74.3,53.4,212.5,24.92,0.22,4,21.111348350592504,14773
317,317,95.9,78.9,116.9,291.6,17.51,0.395,2,67.48425322942244,6086
318,318,50.2,180.0,65.0,295.2,14.91,0.345,1,69.44859613536885,5719
319,319,121.3,97.6,42.7,261.6,15.06,0.41,3,49.52492793850753,9451
320,320,75.1,114.8,114.8,304.6,19.01,0.384,2,74.19130991779652,4833
321,321,52.3,82.5,101.6,236.3,9.55,0.416,4,33.71143375680581,12413
322,322,85.2,54.2,86.6,226.0,17.1,0.435,3,27.7917155973097,13522
323,323,2.2,125.4,79.4,207.0,8.77,0.275,1,18.474431514892707,15269
324,324,27.9,48.8,101.1,177.8,18.07,0.372,3,8.150955482011318,17206
325,325,37.2,70.8,80.1,188.1,17.4,0.214,4,11.038753069285791,16664
326,326,103.4,47.6,75.1,226.1,18.81,0.404,4,27.858439201451908,13511
327,327,104.0,114.0,85.3,303.2,23.22,0.318,1,73.5240738763745,4957
328,328,50.2,82.3,141.3,273.8,12.11,0.133,4,57.37696167396178,7979
329,329,45.1,46.9,102.5,194.5,24.85,0.408,2,13.141881071847978,16269
330,330,40.2,78.0,93.6,211.8,21.79,0.341,2,20.670972563253976,14859
331,331,102.4,155.8,99.1,357.3,16.78,0.236,3,91.16846375573823,1654
332,332,145.9,66.6,107.0,319.5,22.98,0.327,2,80.6741752962528,3617
333,333,110.6,86.3,53.9,250.8,21.86,0.429,2,42.65239671186079,10738
334,334,105.9,37.5,64.6,208.0,19.39,0.428,4,18.973524073876373,15174
335,335,50.7,34.4,99.2,184.3,21.94,0.181,3,9.8750934130458,16883
336,336,77.5,78.9,130.7,287.1,12.49,0.307,3,64.82865378456283,6583
337,337,21.1,108.9,134.5,264.5,20.16,0.231,3,51.534642895270636,9076
338,338,105.8,98.7,131.0,335.5,12.83,0.403,3,86.17220027757018,2589
339,339,87.2,73.0,164.7,324.8,16.93,0.436,4,82.61182876054232,3255
340,340,97.6,36.0,63.2,196.8,12.71,0.273,2,14.126721468986869,16083
341,341,64.0,88.2,87.3,239.5,8.22,0.424,2,35.74783815522579,12030
342,342,98.4,105.7,53.6,257.7,8.6,0.316,2,47.14689868687947,9897
343,343,55.7,57.5,112.4,225.7,13.61,0.147,2,27.612896338208603,13556
344,344,33.5,99.7,75.7,208.8,13.33,0.147,2,19.320486815415823,15111
345,345,134.5,147.4,101.9,383.9,12.39,0.343,4,94.54734706949931,1022
347,347,0.0,94.8,45.6,140.4,16.15,0.149,2,2.241913099177965,18315
348,348,98.9,0.0,61.9,160.8,12.19,0.21,1,4.654638624959966,17859
350,350,115.4,65.5,151.3,332.2,19.12,0.406,3,85.20337354542544,2770
351,351,79.6,104.6,121.2,305.4,14.42,0.134,4,74.59698943098111,4756
352,352,62.8,112.9,125.7,301.4,11.45,0.109,2,72.76876267748479,5100
354,354,72.5,54.3,124.2,251.0,16.72,0.409,2,42.82587808263052,10705
355,355,74.5,99.7,72.7,246.9,9.56,0.387,1,40.22899540941604,11193
356,356,137.0,41.3,118.6,296.9,14.05,0.33,4,70.27329988256645,5564
357,357,52.5,144.0,157.5,354.1,20.48,0.367,4,90.5492687092986,1771
358,358,109.7,58.8,78.5,247.0,18.74,0.36,4,40.29305006939255,11181
359,359,158.8,141.2,147.2,447.2,2.45,0.909,1,97.10152663606277,544
360,360,112.4,59.1,104.8,276.4,21.71,0.384,2,58.703426924308744,7731
361,361,80.7,72.7,141.7,295.0,23.91,0.342,4,69.34183836874132,5741
